# N_iter_Eff = 1007.600000
#l	n		d(1)		J(1)		d(2)		J(2)		d(3)		J(3)		d(4)		J(4)		d(5)		J(5)
#
1	0.404923	0.115125	0.006947	0.069472	0.006947	0.058555	0.006947	0.046645	0.005955	0.115125	0.005955
2	0.410877	0.073442	0.005955	0.116118	0.006947	0.097261	0.006947	0.081382	0.006947	0.042676	0.005955
3	0.354307	0.067487	0.005955	0.050615	0.005955	0.080389	0.006947	0.072449	0.006947	0.082374	0.005955
4	0.414847	0.119095	0.005955	0.101231	0.005955	0.078404	0.006947	0.050615	0.006947	0.065502	0.005955
5	0.558753	0.042676	0.005955	0.234220	0.005955	0.123065	0.005955	0.106193	0.006947	0.051608	0.005955
6	0.679833	0.128027	0.005955	0.061532	0.005955	0.203454	0.005955	0.153831	0.006947	0.132989	0.006947
7	0.668916	0.161771	0.005955	0.126042	0.005955	0.047638	0.005955	0.199484	0.006947	0.133982	0.006947
8	0.490274	0.078404	0.005955	0.140929	0.005955	0.123065	0.005955	0.052600	0.006947	0.095276	0.006947
9	0.514093	0.104208	0.006947	0.037713	0.005955	0.146884	0.005955	0.119095	0.006947	0.107185	0.006947
10	0.503176	0.110163	0.006947	0.062525	0.006947	0.041683	0.005955	0.117110	0.005955	0.172688	0.006947
#
# Statistical information:
# DOS = (0.1000 +/- 0.0329)
#   J = (0.0321 +/- 0.0006)
